State,City,Cluster,Economic_Index,Environmental_Index,Cost_Advantage,CO2_Advantage,Charging_Density,Maintenance_Cost
Gujarat,Ahmedabad,Moderate,0.5500,0.1750,92.33,1.513,2.0,0.7
Karnataka,Bengaluru,EV-Ready,0.5200,1.0000,94.43,1.513,5.6,0.7
Madhya Pradesh,Bhopal,EV-Ready,0.3500,0.4250,99.175,1.513,7.0,0.7
Maharashtra,Pune,Low-Infra,0.4000,0.0750,97.225,1.513,1.0,0.7
Rajasthan,Jaipur,Moderate,0.4200,0.2000,97.465,1.513,3.0,0.7
Tamil Nadu,Chennai,Moderate,0.4600,0.2500,96.67,1.513,3.333,0.7
Telangana,Hyderabad,Low-Infra,0.3000,0.0750,101.555,1.513,1.0,0.7
Uttar Pradesh,Lucknow,Low-Infra,0.6000,0.0750,91.245,1.513,1.0,0.7
